id,name,key,time_signature,ratio_corcheas_negras,muiñeira_type
84,Muiñeira de Burón,C major,6/8,0.2076923076923077,C1
85,Muiñeira de Burón,C major,6/8,0.17692307692307693,C1
86,Danza do Molete,C major,6/8,0.11494252873563218,C1
87,A Alfonsina,C major,6/8,0.17220543806646527,C2
88,Carballesa de Ibio,C major,6/8,0.6136363636363636,C1
89,Muiñeira de Santos,C major,6/8,0.07894736842105263,C2
90,Montañesa de Lugo,C major,6/8,0.19298245614035087,C1
91,Muiñeira Montañesa,C major,6/8,0.21238938053097345,C1
92,Muiñeira de San Román de Cervantes,C major,6/8,0.3068181818181818,C1
93,Muiñeira,C major,6/8,0.3333333333333333,C2
94,"Baila, nena",F major,6/8,0.24096385542168675,C1
95,Muiñeira,C major,6/8,0.20270270270270271,C1
96,Muiñeira,C major,6/8,0.1276595744680851,C1
97,Muiñeira,C major,6/8,0.4126984126984127,C1
98,Muiñeira,F major,6/8,0.75,C1
99,Muiñeira,F major,6/8,0.75,C1
100,Muiñeira de Aldán,F major,6/8,0.2708333333333333,C2
101,Muiñeira,C major,6/8,0.10344827586206896,C1
102,Ribeirana,a minor,6/8,0.15217391304347827,C1
103,Carballesa,C major,2/4,0.05357142857142857,C1
104,Muiñeira,C major,6/8,0.20238095238095238,C2
105,Muiñeira del Gallo,C major,6/8,0.2,C2
106,Muiñeira de Casadelas,C major,6/8,0.05319148936170213,C1
107,Muiñeira de Calvos,a minor,6/8,1.7,C2
108,Muiñeira de Trarigo,C major,6/8,0.1780821917808219,C2
109,Muiñeira de Lucas,C major,6/8,0.36507936507936506,C2
110,Muiñeira de Leiloio,C major,6/8,0.088,C1
111,Muiñeira Vella,C major,6/8,0.19,C1
112,Muiñeira Vella de Mórdomo,C major,6/8,0.02040816326530612,C1
113,Muiñeira Vella de Mórdomo,C major,6/8,0.05263157894736842,C1
114,Muiñeira,C major,6/8,0.2077922077922078,C1
115,Muiñeira de Clemente,C major,6/8,0.17012448132780084,C1
116,Muiñeira de Carballo,C major,6/8,0.12345679012345678,C2
117,Muiñeira de Grixalba,C major,6/8,0.2153846153846154,C1
118,Muiñeira de Vilamaior,C major,6/8,0.23809523809523808,C2
119,Muiñeira de Cances,a minor,6/8,0.12790697674418605,C1
120,Muiñeira,C major,6/8,0.11235955056179775,C2
121,Muiñeira de Florencio,F major,6/8,0.15294117647058825,C1
122,Muiñeira de Rodís,C major,6/8,0.296875,C1
123,Muliñeira de Romeor,C major,6/8,0.07446808510638298,C1
124,Muiñeira de Romeor,C major,6/8,0.05747126436781609,C1
125,Muiñeira,C major,6/8,0.11267605633802817,C1
126,Muiñeira de Oliveira,C major,6/8,0.96,
127,O Camiño do Santo Cristo,C major,6/8,0.29411764705882354,C2
128,Muiñeira de Buscás,C major,6/8,0.058823529411764705,C2
129,Muiñeira das Nasas,C major,6/8,0.4,C2
130,Muiñeira da Fonsagrada,C major,6/8,0.11956521739130435,C1
131,Muiñeira da Fonsagrada,C major,6/8,0.1504424778761062,C1
132,Muiñeira da Cabra,C major,6/8,0.04395604395604396,C2
133,Na Fonte do Teutro,C major,6/8,0.15294117647058825,C1
134,Muiñeira de Umoso,C major,6/8,0.1693548387096774,C1
135,Muiñeira de Ponte Maceira,C major,6/8,0.0,C2
136,Muiñeira de Calvos de Randín,C major,6/8,0.18095238095238095,C1
137,Muiñeira de Aranga,C major,6/8,0.21621621621621623,C1
138,Muiñeira da Armenteira,C major,6/8,0.38235294117647056,C2
139,Muiñeira de Santiso,C major,6/8,0.021505376344086023,C2
140,Muiñeira de Xinzo,F major,6/8,0.10191082802547771,C1
141,Muiñeira de Forcarei,G major,6/8,0.22666666666666666,C1
142,Muiñeira Nova,F major,6/8,0.13333333333333333,C2
143,Muiñeira da Fonsagrada,C major,6/8,0.11764705882352941,C1
144,Muiñeira de Riocereixa,C major,6/8,0.22388059701492538,C1
145,Muiñeira de Gulpilleira,C major,6/8,0.10759493670886076,C1
146,Muiñeira de Pacios de Mourisco,C major,6/8,0.19310344827586207,C1
147,Muiñeira de Teixeira,C major,6/8,0.12941176470588237,C1
148,Muiñeira de Vilar de Conforto,C major,6/8,0.14942528735632185,C2
149,Muiñeira da Caseta,a minor,6/8,0.31746031746031744,C1
150,Muiñeira da Lucenza,c minor,6/8,0.0546448087431694,C2
151,Muiñeira de Ramiro,C major,6/8,0.12418300653594772,C1
152,Muiñeira dos Fros,C major,6/8,0.22727272727272727,C1
153,Muiñeira,C major,6/8,0.11764705882352941,C1
154,Muiñeira,F major,6/8,0.20270270270270271,C1
155,Muiñeira,C major,6/8,0.2,C1
156,Muiñeira,F major,6/8,0.1917808219178082,C1
157,Muiñeira,C major,2/4,0.08888888888888889,C1
158,Muiñeira,F major,2/4,0.06944444444444445,C1
159,Aire de Muiñeira,C major,6/8,0.1827956989247312,C2
160,A Cruz de Lobeira,F major,6/8,0.3472222222222222,C1
161,Muiñeira de Desiderio,C major,6/8,0.11764705882352941,C1
162,Muiñeira,C major,6/8,0.25471698113207547,C2
163,Muiñeira para Xesús,C major,6/8,0.08878504672897196,C2
164,Ribeirana ,C major,6/8,0.13333333333333333,C1
165,Danza de Cambados,C major,6/8,0.0989010989010989,C2
166,Danza de Cambados,a minor,6/8,0.12643678160919541,C2
167,Muiñeira de Lugo,C major,6/8,0.16326530612244897,C2
168,Muiñeira de Cangas de Foz,C major,6/8,0.16666666666666666,C1
169,"Lévame, Lévame",C major,6/8,0.4032258064516129,C2
170,Muiñeira de Oza dos Ríos,a minor,6/8,0.2206896551724138,C2
171,Muiñeira de Navia,C major,6/8,0.12987012987012986,C2
172,Muiñeira de Piadela,C major,6/8,0.0695970695970696,C1
173,Ribeirana de Pontevedra,C major,6/8,0.0625,C2
174,Ribeirana,C major,6/8,0.04878048780487805,C2
175,Muiñeira de Castrelo,C major,6/8,0.20930232558139536,C1
176,Mariquiña,F major,6/8,0.02459016393442623,C1
177,A Regueifa,C major,6/8,0.18867924528301888,C1
178,Muiñeira,C major,6/8,0.021739130434782608,C1
179,A Criada do Cura,C major,6/8,0.0989010989010989,C1
180,No Coto da Xesta,C major,6/8,0.29292929292929293,C2
181,Muiñeira dos Vinte Compases,C major,6/8,0.20833333333333334,C2
182,Farruquiña Chaman á Porta,C major,6/8,0.2905027932960894,C1
183,A Farruquiña,C major,6/8,0.07446808510638298,C1
184,Muiñeira de Redondela,C major,6/8,0.09411764705882353,C1
185,Muiñeira de Berdoias,C major,6/8,0.3235294117647059,C1
186,Muiñeira,C major,6/8,0.022727272727272728,C2
187,Muiñeira de Abellá,C major,6/8,0.17073170731707318,C1
188,Xeitosa,C major,6/8,0.19230769230769232,C2
189,Muiñeira de Outeiro,C major,6/8,0.13095238095238096,C1
190,Muiñeira,C major,6/8,0.0,C1
191,O Bico,F major,6/8,0.12195121951219512,C1
192,A Freixa,C major,6/8,0.11538461538461539,C2
193,Muiñeira da Picota,C major,6/8,0.22818791946308725,C2
194,Muiñeira de Entreambasaugas,C major,6/8,0.21839080459770116,C1
195,Muiñeira do Amaro,C major,6/8,0.16551724137931034,C2
196,Muiñeira de Cernades,a minor,6/8,0.21052631578947367,C1
197,Muiñeira da Gandareira,C major,6/8,0.15853658536585366,C1
198,Muiñeira da Gándara,C major,6/8,0.4672897196261682,C1
199,Muiñeira,c minor,6/8,0.09411764705882353,C1
200,Muiñeira Vella de Dombate,C major,6/8,0.2597402597402597,C1
201,Muiñeira,C major,6/8,0.13333333333333333,C2
202,Muiñeira,C major,6/8,0.16292134831460675,C2
203,Muiñeira do Condado,C major,6/8,0.10638297872340426,C1
204,Muiñeira de Lavadores,F major,6/8,0.10526315789473684,C2
205,Muiñeira de Albite,C major,6/8,0.13095238095238096,C2
206,Muiñeira Vella de Alvite,C major,6/8,0.14942528735632185,C2
207,Espantalleira,C major,6/8,0.15789473684210525,C1
208,Muiñeira Redonda,C major,6/8,0.22772277227722773,C2
209,Muiñeira,C major,6/8,0.24509803921568626,C2
210,A Redonda,C major,6/8,0.2871287128712871,C2
211,Muiñeira da Costa,C major,6/8,0.175,C1
212,Muiñeira de Cabana,c minor,6/8,0.1349206349206349,C1
213,Loliña,C major,6/8,0.10695187165775401,C1
214,Mariñana,C major,6/8,0.04807692307692308,C1
215,Mariñana,C major,6/8,0.10416666666666667,C1
216,Muiñeira de Lañas,C major,6/8,0.11538461538461539,C1
217,O Facho,C major,6/8,0.20930232558139536,C2
218,Agachadiño na Freixa,d minor,4/4,0.47368421052631576,C2
219,Muiñeira de Chantada,C major,6/8,0.3888888888888889,C2
220,Muiñeira,C major,6/8,0.2261904761904762,C1
221,A Ponte Labañou,C major,6/8,0.07446808510638298,C1
222,Muiñeira de Santaia de Moar,C major,6/8,0.14814814814814814,C1
223,Muiñeira de Rubiás,C major,6/8,0.3020833333333333,C1
224,Muiñeira de Viceso,C major,6/8,0.06,C1
225,Muiñeira das Mariñas,C major,6/8,0.10884353741496598,C2
226,Muiñeira,G major,6/8,0.19801980198019803,C1
227,Muiñeira da Fonsagrada,C major,6/8,0.25757575757575757,C1
228,Muiñeira,C major,6/8,0.36363636363636365,C2
229,Muiñeira,C major,6/8,0.2,C2
230,Muiñeira de Paulino,a minor,6/8,0.13636363636363635,C1
231,Muiñeira de Paulino,C major,6/8,0.06382978723404255,C1
232,Muiñeira de Riotorto,C major,6/8,0.19607843137254902,C2
233,Muiñeira,c minor,6/8,0.14457831325301204,C2
234,Muiñeira de Meiraos,a minor,6/8,0.18571428571428572,C1
235,Muiñeira de Freixido,C major,6/8,0.14792899408284024,C1
236,Muiñeira,F major,6/8,1.3902439024390243,C2
237,Muiñeira de Buscás,C major,6/8,0.29850746268656714,C2
238,Muiñeira,c minor,6/8,2.1363636363636362,C2
239,Muiñeira dos gaiteiros de Sar,C major,6/8,0.15217391304347827,C2
240,Muiñeira de Bergantiños,C major,6/8,0.23222748815165878,C2
241,Muiñeira da Ponte de Outeiro,C major,6/8,0.12359550561797752,C1
242,Muiñeira de Ferreira de Pantón,C major,6/8,0.42105263157894735,C1
243,Muiñeira de Vilantime,C major,6/8,0.16455696202531644,C1
244,Muiñeira do Castrillón,C major,6/8,0.3161764705882353,C1
245,Muiñeira de Castrillón,C major,6/8,0.3883495145631068,
246,Muiñeira de Guitizá,C major,6/8,0.5283018867924528,C2
247,Muiñeira,C major,6/8,1.2,C2
248,Muiñeira,c minor,6/8,0.17985611510791366,C2
249,Muiñeira do Areal,C major,6/8,0.13445378151260504,C1
250,Muiñeira do Areal,C major,6/8,0.20952380952380953,C1
251,Muiñeira de Mazaricos,F major,6/8,0.05825242718446602,C2
252,Villoria,C major,4/4,0.14450867052023122,C2
253,Villoria,C major,6/8,0.17333333333333334,C1
254,A Camposa,C major,6/8,0.3546099290780142,C1
255,Muiñeira de Melide,d minor,6/8,0.08,C2
256,Muiñeira de Veiga de Forcas,f minor,6/8,0.1643835616438356,C2
257,Muiñeira,C major,6/8,0.30851063829787234,C1
258,Muiñeira,C major,6/8,0.1694915254237288,C1
259,Muiñeira de Cangas,C major,6/8,0.1794871794871795,C1
260,Muiñeira da Fonsagrada,C major,6/8,0.08148148148148149,C2
261,Muiñeira,C major,6/8,0.352112676056338,C2
262,Muiñeira de Martiño,C major,6/8,0.1686746987951807,C1
263,Muiñeira de Cartelle,C major,6/8,0.32142857142857145,C2
264,Muiñeira de Monforte,C major,6/8,0.3584905660377358,C2
265,Maruxa,C major,6/8,0.1958762886597938,C2
266,Carmela,C major,6/8,0.10227272727272728,C1
267,Carmela,C major,6/8,0.06451612903225806,C1
268,Volandeira,C major,6/8,0.03296703296703297,C1
269,Muineira de Garceiras,C major,6/8,0.09411764705882353,C2
270,Muiñeira de Sexo,d minor,6/8,0.3559322033898305,C2
271,Muiñeira de Santa Maria de Oleiros,C major,6/8,0.27956989247311825,C2
272,Muiñeira dos Cigarróns,C major,6/8,0.2808988764044944,C2
273,Muiñeira de Ourense,C major,6/8,0.038461538461538464,C1
274,Muiñeira de Mourente,C major,6/8,0.44776119402985076,C2
275,Muiñeira de Cangas,C major,6/8,0.43333333333333335,C2
276,Muiñeira de Cangas,C major,6/8,0.17647058823529413,C2
277,Muiñeira de Cangas,C major,6/8,0.524390243902439,C1
278,Muiñeira de Cangas,C major,6/8,0.09433962264150944,C1
279,Muiñeira,C major,6/8,0.06451612903225806,C1
280,Muiñeira de Poio,C major,6/8,0.21818181818181817,C1
281,Muiñeira,C major,6/8,0.12598425196850394,C1
282,Muiñeira de Vilanova,C major,6/8,0.12121212121212122,C2
283,Muiñeira,C major,6/8,0.19607843137254902,C1
284,Muiñeira do Morrazo,C major,6/8,0.21212121212121213,C2
285,Muiñeira de Muradelle,C major,6/8,0.18072289156626506,C1
286,Muiñeira de Poio,C major,6/8,0.1590909090909091,C1
287,Muiñeira de Negros,C major,6/8,0.34444444444444444,C1
288,Muiñeira de Visma,C major,6/8,0.16363636363636364,C2
289,Muiñeira Antigua,C major,6/8,0.15966386554621848,C1
290,Muiñeira,C major,6/8,0.12781954887218044,C2
291,Muiñeira,C major,6/8,0.16279069767441862,C1
292,Muiñeira de Froxán,C major,6/8,0.0859375,C1
293,Muiñeira de Froxán,C major,6/8,0.0962962962962963,C1
294,Muiñeira de Froxán,C major,6/8,0.0859375,C1
295,Muiñeira de Poio,C major,6/8,0.1111111111111111,C1
296,Muiñeira de Poio,C major,6/8,0.125,C1
297,Muiñeira de Poio,d minor,6/8,0.4166666666666667,C1
298,Muiñeira de Poio,F major,6/8,0.125,C2
299,Muiñeira de Poio,F major,6/8,0.18421052631578946,C2
300,Muiñeira de Cesures,C major,6/8,0.5087719298245614,C1
301,Muiñeira,C major,6/8,0.25688073394495414,C2
302,Muiñeira da Xunqueira,C major,6/8,0.10869565217391304,C1
303,Muiñeira de Poio,C major,6/8,0.2857142857142857,C2
304,Muiñeira de Forcarei,C major,6/8,0.2236842105263158,C1
305,Muiñeira do Morrazo,F major,6/8,0.2345679012345679,C2
306,Muiñeira de Poio,C major,6/8,0.2054794520547945,C2
307,Muiñeira de Piornedo,C major,6/8,0.22093023255813954,C2
308,Muiñeira de Lougares,F major,6/8,0.14473684210526316,C2
309,Muiñeira,C major,6/8,0.18867924528301888,C2
310,Muiñeira de Ponteareas,C major,6/8,0.21686746987951808,C2
311,Buxos Verdes,d minor,6/8,0.22448979591836735,C1
312,Muiñeira do Chao,C major,6/8,0.14492753623188406,C1
313,Muiñeira,C major,6/8,0.17333333333333334,C1
314,A Grelada,C major,6/8,0.1390728476821192,C1
315,Muiñeira dos Sete Estalos,C major,6/8,0.13953488372093023,C1
316,Muiñeira de Lugo,C major,6/8,0.22580645161290322,C1
317,Muiñeira do Molete,C major,6/8,0.29850746268656714,C2
318,Muiñeira do Molete,C major,6/8,0.10638297872340426,C1
319,Muiñeira,C major,6/8,0.2962962962962963,C1
320,Muiñeira do Morrazo,C major,6/8,0.2916666666666667,C1
321,Muiñeira do Morrazo,C major,6/8,0.23809523809523808,C2
322,Muiñeira do Morrazo,C major,6/8,0.3013698630136986,C2
323,Muiñeira de Oitavén,C major,6/8,0.6666666666666666,C2
324,Muiñeira de Neaño,C major,6/8,0.08,C1
325,Muiñeira de Laxe,C major,6/8,0.078125,C2
326,Muiñeira de Fonmaior,C major,6/8,0.19101123595505617,C2
327,A Coruxa,C major,6/8,0.06896551724137931,C1
328,Muiñeira de Ibias,F major,6/8,0.042682926829268296,C1
329,Muiñeira de Ibias,F major,6/8,0.05434782608695652,C2
330,Muiñeira de Valdeferreiros,C major,6/8,0.112,C1
331,Estróupeles tróupele,C major,6/8,0.17647058823529413,C1
332,Muiñeira de Liñeiro,G major,6/8,0.1,C2
333,Muiñeira Picada,C major,6/8,0.02857142857142857,C1
334,Muiñeira Picada,C major,6/8,0.1415929203539823,C1
335,Muiñeira,C major,6/8,0.040983606557377046,C1
336,Muiñeira,C major,6/8,0.12790697674418605,C1
337,Muiñeira Vella,C major,6/8,0.23958333333333334,C1
338,Muiñeira de Curuxeiras,C major,6/8,0.09322033898305085,C2
339,Muiñeira de Curuxeiras,C major,6/8,0.10204081632653061,C2
340,Muiñeira Montañesa,C major,6/8,0.09701492537313433,C1
341,Muiñeira de Ramelle,c minor,6/8,0.10869565217391304,C2
342,Muiñeira da Fonsagrada,C major,6/8,0.125,C1
343,Muiñeira de Lobios,C major,6/8,0.2125,C2
344,Muiñeira,C major,6/8,0.17857142857142858,C1
345,Mariñas de Betanzos,C major,6/8,0.01639344262295082,C1
346,Mariñas de Betanzos,C major,6/8,0.03571428571428571,C1
347,Muiñeira de Albarellos,G major,6/8,0.15384615384615385,C1
348,Muiñeira de Carelle,a minor,9/8,0.26244343891402716,C1
349,Contraparo,C major,6/8,0.16822429906542055,C1
350,Vinde rapazas,d minor,6/8,0.25,C1
351,Muiñeira de Arantón,C major,6/8,0.025423728813559324,C1
352,Muiñeira de Pradela,C major,6/8,0.12949640287769784,C2
353,Muiñeira Repunteada,C major,6/8,0.19444444444444445,C1
354,Muiñeira,C major,6/8,0.2631578947368421,C2
355,Santa Mariña,C major,6/8,0.17647058823529413,C1
356,Muiñeira de Vilouchada,e minor,6/8,0.32142857142857145,C2
357,Muiñeira de Señorans,C major,6/8,0.13076923076923078,C2
358,Reviravolta,c minor,6/8,0.06930693069306931,C1
359,Muiñeira do Carballal,C major,6/8,0.11363636363636363,C1
360,O Gaiteiro de Torbolosiño,C major,6/8,0.19402985074626866,C2
361,De Llomake a Vigo,C major,6/8,0.3076923076923077,C1
362,Muiñeira de Parada de Achás,c minor,6/8,0.1506849315068493,
363,Muiñeira,a minor,6/8,0.11475409836065574,C1
364,Muiñeira,C major,6/8,0.2923076923076923,C1
365,Muiñeira,F major,6/8,0.11920529801324503,C2
366,Muiñeira,C major,6/8,0.0967741935483871,C1
367,Muiñeira,F major,6/8,0.2647058823529412,C1
368,Muiñeira,C major,6/8,0.041237113402061855,C1
369,Muiñeira,C major,6/8,0.1125,C1
370,Muiñeira,C major,6/8,0.10843373493975904,C1
371,Muiñeira,C major,6/8,0.3076923076923077,C1
372,Muiñeira,C major,2/4,0.08928571428571429,C2
373,Muiñeira,d minor,6/8,0.15267175572519084,
374,Muiñeira,F major,6/8,0.6785714285714286,C1
375,Muiñeira coreada,C major,6/8,0.5797101449275363,C2
376,Ribeirana,C major,6/8,0.08695652173913043,C1
377,Muiñeira,C major,6/8,0.39436619718309857,C1
378,Muiñeira,C major,6/8,0.367816091954023,C1
379,Muiñeira,C major,6/8,0.3584905660377358,C1
380,Muiñeira,C major,6/8,0.16129032258064516,C1
381,Muiñeira,F major,6/8,0.12345679012345678,C1
382,Muiñeira,d minor,6/8,0.27450980392156865,C1
383,Muiñeira,d minor,6/8,0.288135593220339,C1
384,Ribeirana de Pescadores,C major,6/8,0.5391304347826087,C1
385,Ribeirana,C major,6/8,0.5784313725490197,C1
386,Muiñeira de Chancelas,c minor,4/4,0.1111111111111111,C2
387,Ruada de Allariz,C major,6/8,0.22077922077922077,C1
388,A Barcalesa,a minor,6/8,0.3188405797101449,C1
389,Muiñeira,C major,6/8,0.3968253968253968,C1
390,Muiñeira do Cuartel,C major,6/8,0.2558139534883721,C1
391,Muiñeira de Redonda,C major,6/8,0.2,C1
392,Muiñeira de Abellá,C major,6/8,0.11235955056179775,C2
393,Muiñeira de Anceis,C major,6/8,0.2937062937062937,C2
394,Variacións,C major,6/8,0.3010752688172043,C2
395,Muiñeira da Barcala,C major,6/8,0.22137404580152673,C1
396,A Santiaguesa,C major,6/8,0.3968253968253968,C2
397,As Festas de Marnela,C major,6/8,0.6521739130434783,C2
398,Muiñeira do Século XII,C major,6/8,0.14102564102564102,C1
399,Muiñeira de Manuel Dopazo,C major,6/8,0.08955223880597014,C2
400,Muiñeira,C major,6/8,0.10084033613445378,C2
401,Muiñeira de Riomao,C major,6/8,0.20422535211267606,C2
402,Muiñeira de Riomao,C major,6/8,0.20833333333333334,C2
403,Muiñeira da Mariña,C major,6/8,0.10849056603773585,C1
404,Muiñeira da Mariña,C major,6/8,0.12254901960784313,C1
405,Muiñeira de Cangas,C major,6/8,0.058823529411764705,C1
406,Muiñeira do Piñeiro,F major,6/8,0.136,C1
407,Muiñeira dos Alegres,C major,6/8,0.09722222222222222,C2
408,Rosariño,C major,6/8,0.3531746031746032,C2
409,Muiñeira do Picato,C major,6/8,0.2222222222222222,C1
410,Muiñeira de Xulio Méndez,C major,6/8,0.11206896551724138,C2
411,Aires do sur,F major,6/8,0.21212121212121213,C1
412,Muiñeira,C major,6/8,0.13829787234042554,C2
413,Muiñeira de Folgoso,a minor,6/8,0.5135135135135135,C1
414,Muiñeira de Ancadeira,C major,6/8,0.2376237623762376,C2
415,Muiñeira,C major,6/8,0.023809523809523808,C2
416,Muiñeira do Hío,C major,6/8,0.17857142857142858,C1
417,A volta dos mariñeiros,C major,6/8,0.18875502008032127,C2
418,Muiñeira de Tella,C major,6/8,0.08080808080808081,C1
419,Muiñeira,C major,6/8,0.43478260869565216,C1
420,Muiñeira,C major,6/8,0.10344827586206896,C2
421,Muiñeira,C major,6/8,0.19834710743801653,C2
422,Muiñeira de Pontesampaio,c minor,6/8,0.18064516129032257,C1
423,Muiñeira do Saviñao,C major,6/8,0.10144927536231885,C1
424,Muiñeira das Nogais,C major,6/8,0.4117647058823529,C2
425,Muiñeira de San Andrés,C major,6/8,0.3728813559322034,C2
426,Carballesa,C major,6/8,0.09574468085106383,C2
427,Carballesa de Melide,C major,2/4,0.28205128205128205,C2
428,Redonda de Bande,C major,6/8,0.6086956521739131,C1
429,Redonda de Bande,C major,6/8,0.6222222222222222,C2
430,Ribeirana de Poio,C major,2/4,0.038461538461538464,C1
431,Ribeirana de Poio,C major,2/4,0.05063291139240506,C1
432,Muiñeira de Casamiro,C major,6/8,0.11188811188811189,C1
433,Muiñeira de Casamiro,C major,6/8,0.07142857142857142,C1
434,Carvalhesa,C major,2/4,0.5897435897435898,C2
435,Ribeirana de Ventosela,G major,6/8,0.19863013698630136,C1
436,Carballesa,d minor,6/8,0.07514450867052024,C2
437,Ribeirana,F major,6/8,0.21705426356589147,C1
438,Carballesa do Carballiño,C major,2/4,0.3181818181818182,C2
439,Carballesa,C major,2/4,0.10526315789473684,C1
440,Carballesa,C major,2/4,0.06666666666666667,C1
441,Ribeirana de Villalba,C major,6/8,0.4909090909090909,C2
