id,name,parroquia,concellu,province,key,time_signature,count_seventh,ratio_negras_corcheas,muiñeira_type
54,Muiñeira de Santa Cristina de Marcelle,Santa Cristina de Marcelle,A Baña,A Coruña ,a minor,6/8,33,0.12056737588652482,C2
55,Muiñeira de Oirós,Oirós,Vila de Cruces,Pontevedra,C major,6/8,10,0.14634146341463414,C1
66,Muiñeira de Corme,Corme,Ponteceso,A Coruña,C major,6/8,3,0.14754098360655737,C1
67,Muiñeira de Corme,Corme,Ponteceso,A Coruña,C major,6/8,3,0.05263157894736842,C1
68,Muiñeira de Santiago de Miraz,Santiago de Miraz,Friol,Lugo,C major,6/8,0,0.4189189189189189,C1
69,Muiñeira de Santiago de Miraz,Santiago de Miraz,Friol,Lugo,C major,6/8,0,0.29069767441860467,C1
70,Muiñeira de Sendelle,Sendelle,Boimorto,A Coruña,C major,6/8,4,0.10256410256410256,C1
71,Muiñeira de Sendelle,Sendelle,Biomorto,A Coruña,C major,6/8,11,0.07317073170731707,C1
73,Muiñeira de Monterrei,,Monterrei,Ourense,a minor,6/8,13,0.2698412698412698,C1
74,Muiñeira de Monterrei,,Monterrei,Ourense,a minor,6/8,13,0.21311475409836064,C1
75,Muiñeira das Nogais,,As Nogais,Lugo,C major,6/8,8,0.11428571428571428,C1
76,Carballesa,,O Carballiño,Ourense,C major,2/4,6,0.15873015873015872,C2
77,Muiñeira de Cercedo,,Cercedo,Pontevedra,C major,6/8,27,0.16167664670658682,C2
78,Muiñeira de Eiriz,Eiriz,Folgoso do Courel,Lugo,C major,6/8,14,0.46808510638297873,C2
80,Muiñeira de San Fins,San Fins,,,C major,6/8,3,0.4,C2
81,Muiñeira de Pazos de Borbén,Pazos de Borbén,Pontevedra,,C major,6/8,1,1.9047619047619047,C2
82,Muiñeira de Borreiro,Borreiro,Abegondo,A Coruña,C major,6/8,9,0.13333333333333333,C2
83,Muiñeira de Borreiro,Borreiro,Abegondo,A Coruña,C major,6/8,8,0.14457831325301204,C2
84,Muiñeira de Burón,,Burón,León,C major,6/8,12,0.2076923076923077,C1
85,Muiñeira de Burón,,Burón,León,C major,6/8,11,0.17692307692307693,C1
89,Muiñeira de Santos,,A Fonsagrada,Lugo,C major,6/8,40,0.07894736842105263,C2
90,Montañesa de Lugo,,Lugo,Lugo,C major,6/8,5,0.19298245614035087,C1
91,Montañesa de Lugo,,,Lugo,C major,6/8,7,0.21238938053097345,C1
92,Muiñeira de San Román de Cervantes,San Román,Cervantes,Lugo,C major,6/8,0,0.3068181818181818,C1
93,Muiñeira,Navia de Suarna,Lugo,,C major,6/8,3,0.3333333333333333,C2
96,Muiñeira,Vilarmide,A Pontenova,Lugo,C major,6/8,9,0.1276595744680851,C1
97,Muiñeira,Vilarmide,A Pontenova,Lugo,C major,6/8,7,0.4126984126984127,C1
98,Muiñeira,,Cangas,Pontevedra,F major,6/8,8,0.75,C1
99,Muiñeira,Aldán,Cangas,Pontevedra,F major,6/8,6,0.75,C1
100,Muiñeira de Aldán,Aldán,Cangas,Pontevedra,F major,6/8,13,0.2708333333333333,C2
106,Muiñeira de Casadelas,Lema,Baldaio,A Coruña,C major,6/8,9,0.05319148936170213,C1
107,Muiñeira de Calvos,Calvos,Calvos de Randín,Ourense,a minor,6/8,0,1.7,C2
108,Muiñeira de Trarigo,Trarigo,Bande,Ourense,C major,6/8,7,0.1780821917808219,C2
109,Muiñeira de Lucas,Sambreixo,Parga,Lugo,C major,6/8,6,0.36507936507936506,C2
110,Muiñeira de Leiloio,Leiloio,Malpica,A Coruña,C major,6/8,7,0.088,C1
112,Muiñeira Vella de Mórdomo,Traba,Laxe,A Coruña,C major,6/8,10,0.02040816326530612,C1
113,Muiñeira Vella de Mórdomo,Traba,Laxe,A Coruña,C major,6/8,11,0.05263157894736842,C1
116,Muiñeira de Carballo,,Carballo,A Coruña,C major,6/8,5,0.12345679012345678,C2
117,Muiñeira de Grixalba,Grixalba,Sobrado dos Monxes,A Coruña,C major,6/8,0,0.2153846153846154,C1
118,Muiñeira de Vilamaior,Vilamaior,Ordes,A Coruña,C major,6/8,2,0.23809523809523808,C2
119,Muiñeira de Cances,Cances,Carballo,A Coruña,a minor,6/8,0,0.12790697674418605,C1
121,Muiñeira de Florencio,,A Fonsagrada,Lugo,F major,6/8,6,0.15294117647058825,C1
122,Muiñeira de Rodís,,Celeiro,Lugo,C major,6/8,10,0.296875,C1
123,Muliñeira de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8,2,0.07446808510638298,C1
124,Muiñeira de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8,2,0.05747126436781609,C1
126,Muiñeira de Oliveira,Santiago de Oliveira,Ponteareas,Pontevedra,C major,6/8,4,0.96,
128,Muiñeira de Buscás,Buscás,Ordes,A Coruña,C major,6/8,14,0.058823529411764705,C2
130,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8,6,0.11956521739130435,C1
131,Muiñeira da Fonsagrada,Pobra de Burón,A Fonsagrada,Lugo,C major,6/8,4,0.1504424778761062,C1
134,Muiñeira de Umoso,Umoso,Viana do Bolo,Ourense,C major,6/8,11,0.1693548387096774,C1
135,Muiñeira de Ponte Maceira,Ponte Maceira,Negreira,A Coruña,C major,6/8,7,0.0,C2
136,Muiñeira de Calvos de Randín,,Calvos de Randín,Ourense ,C major,6/8,0,0.18095238095238095,C1
137,Muiñeira de Aranga,,Aranga,A Coruña,C major,6/8,0,0.21621621621621623,C1
139,Muiñeira de Santiso,,Santiso,A Coruña,C major,6/8,7,0.021505376344086023,C2
140,Muiñeira de Xinzo,,Xinzo de Limia,Ourense,F major,6/8,20,0.10191082802547771,C1
141,Muiñeira de Forcarei,,Forcarei,Pontevedra,G major,6/8,0,0.22666666666666666,C1
143,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8,15,0.11764705882352941,C1
144,Muiñeira de Riocereixa,Riocereixa,Pedrafita do Cebreiro,Lugo,C major,6/8,2,0.22388059701492538,C1
145,Muiñeira de Gulpilleira,Gulpilleiras,A Fonsagrada,Lugo,C major,6/8,20,0.10759493670886076,C1
146,Muiñeira de Pacios de Mourisco,Pacios de Mourisco,A Fonsagrada,Lugo,C major,6/8,8,0.19310344827586207,C1
147,Muiñeira de Teixeira,Teixeira,Pobra de Brollón,Lugo,C major,6/8,7,0.12941176470588237,C1
148,Muiñeira de Vilar de Conforto,Vilar de Conforto,A Pontenova,Lugo,C major,6/8,0,0.14942528735632185,C2
151,Muiñeira de Ramiro,Sambreixo,Parga,Lugo,C major,6/8,9,0.12418300653594772,C1
160,A Cruz de Lobeira,Lobeira,Vilanova de Arousa,Pontevedra,F major,6/8,9,0.3472222222222222,C1
161,Muiñeira de Desiderio,Vilarmide,A Pontenova,Lugo,C major,6/8,7,0.11764705882352941,C1
162,Muiñeira,,Navia de Suarna,Lugo,C major,6/8,1,0.25471698113207547,C2
164,Ribeirana,,Ordes,A Coruña,C major,6/8,16,0.13333333333333333,C1
165,Danza de Cambados,,Cambados,Pontevedra,C major,6/8,12,0.0989010989010989,C2
166,Danza de Cambados,,Cambados,Pontevedra,a minor,6/8,20,0.12643678160919541,C2
167,Muiñeira de Lugo,,Lugo,Lugo,C major,6/8,1,0.16326530612244897,C2
168,Muiñeira de Cangas de Foz,Cangas de Foz,Foz,Lugo,C major,6/8,4,0.16666666666666666,C1
170,Muiñeira de Oza dos Ríos,Oza dos Ríos,Betanzos,A Coruña,a minor,6/8,8,0.2206896551724138,C2
171,Muiñeira de Navia,,Navia de Suarna,Lugo,C major,6/8,9,0.12987012987012986,C2
172,Muiñeira de Piadela,Santo Estevo de Piadela,Betanzos,A Coruña,C major,6/8,31,0.0695970695970696,C1
173,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,2,0.0625,C2
175,Muiñeira de Castrelo,Castrelo,Cambados,Pontevedra,C major,6/8,9,0.20930232558139536,C1
184,Muiñeira de Redondela,,Redondela,Pontevedra,C major,6/8,12,0.09411764705882353,C1
185,Muiñeira de Berdoias,Berdoias,Vimianzo,A Coruña,C major,6/8,5,0.3235294117647059,C1
186,Muiñeira,Santiso,Vila de Cruces,Pontevedra,C major,6/8,7,0.022727272727272728,C2
187,Muiñeira de Abellá,Abellá,Frades,A Coruña,C major,6/8,7,0.17073170731707318,C1
189,Muiñeira de Outeiro,Outeiro,Arzúa,A Coruña,C major,6/8,0,0.13095238095238096,C1
193,Muiñeira da Picota,Picota,Mazaricos,A Coruña,C major,6/8,18,0.22818791946308725,C2
194,Muiñeira de Entreambasaugas,Entreambasaugas,Guntín de Pallares,Lugo,C major,6/8,10,0.21839080459770116,C1
196,Muiñeira de Cernades,Cernades,,Pontevedra,a minor,6/8,0,0.21052631578947367,C1
200,Muiñeira Vella de Dombate,,Dombate,A Coruña,C major,6/8,7,0.2597402597402597,C1
202,Muiñeira,,Pontevedra,Pontevedra,C major,6/8,25,0.16292134831460675,C2
203,Muiñeira do Condado,O Condado,Pontevedra,,C major,6/8,5,0.10638297872340426,C1
204,Muiñeira de Lavadores,Lavadores,Vigo,Pontevedra,F major,6/8,9,0.10526315789473684,C2
205,Muiñeira de Albite,Albite,Beariz,Ourense,C major,6/8,2,0.13095238095238096,C2
206,Muiñeira Vella de Alvite,Alvite,Curtis,A Coruña,C major,6/8,5,0.14942528735632185,C2
212,Muiñeira de Cabana,,Cabana,A Coruña,c minor,6/8,0,0.1349206349206349,C1
216,Muiñeira de Lañas,Lañas,Arteixo,A Coruña,C major,6/8,10,0.11538461538461539,C1
219,Muiñeira de Chantada,,Chantada,Lugo,C major,6/8,11,0.3888888888888889,C2
222,Muiñeira de Santaia de Moar,Moar,Frades,A Coruña,C major,6/8,1,0.14814814814814814,C1
223,Muiñeira de Rubiás,Rubiás,Calvos de Randín,Ourense,C major,6/8,8,0.3020833333333333,C1
224,Muiñeira de Viceso,Viceso,Brión,A Coruña,C major,6/8,12,0.06,C1
225,Muiñeira das Mariñas,As Mariñas,,A Coruña,C major,6/8,27,0.10884353741496598,C2
226,Muiñeira,,A Fonsagrada,Lugo,G major,6/8,0,0.19801980198019803,C1
232,Muiñeira de Riotorto,,Riotorto,Lugo,C major,6/8,7,0.19607843137254902,C2
234,Muiñeira de Meiraos,Meiraos,Folgoso do Caurel,Lugo,a minor,6/8,10,0.18571428571428572,C1
235,Muiñeira de Freixido,Freixido,Larouco,Ourense,C major,6/8,10,0.14792899408284024,C1
236,Muiñeira,Lugariño de Imende,Carballo,A Coruña,F major,6/8,12,1.3902439024390243,C2
237,Muiñeira de Buscás,Buscás,Ordes,A Coruña,C major,6/8,0,0.29850746268656714,C2
238,Muiñeira,Xirazga,Beariz,Ourense,c minor,6/8,0,2.1363636363636362,C2
239,Muiñeira dos gaiteiros de Sar,O Sar,,A Coruña,C major,6/8,0,0.15217391304347827,C2
240,Muiñeira de Bergantiños,Bergantiños,,A Coruña,C major,6/8,17,0.23222748815165878,C2
241,Muiñeira da Ponte de Outeiro,San Martín de Corbelle,A Pastoriza,Lugo,C major,6/8,8,0.12359550561797752,C1
242,Muiñeira de Ferreira de Pantón,San Iago de Castillón,Pantón,Lugo,C major,6/8,0,0.42105263157894735,C1
243,Muiñeira de Vilantime,,Arzúa,A Coruña,C major,6/8,9,0.16455696202531644,C1
244,Muiñeira do Castrillón,Bretoña,Pastoriza,Lugo,C major,6/8,11,0.3161764705882353,C1
245,Muiñeira de Castrillón,Bretoña,A Pastoriza,Lugo,C major,6/8,11,0.3883495145631068,
246,Muiñeira de Guitizá,A Porta,O Sobrado,A Coruña,C major,6/8,3,0.5283018867924528,C2
249,Muiñeira do Areal,Areal,,Lugo,C major,6/8,18,0.13445378151260504,C1
250,Muiñeira do Areal,Areal,,Lugo,C major,6/8,14,0.20952380952380953,C1
251,Muiñeira de Mazaricos,,Mazaricos,A Coruña,F major,6/8,8,0.05825242718446602,C2
255,Muiñeira de Melide,,Melide,A Coruña,d minor,6/8,2,0.08,C2
256,Muiñeira de Veiga de Forcas,Veiga de Forcas,Lugo,Lugo,f minor,6/8,0,0.1643835616438356,C2
259,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,3,0.1794871794871795,C1
260,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8,17,0.08148148148148149,C2
261,Muiñeira,Laroá,A Limia,Ourense,C major,6/8,3,0.352112676056338,C2
263,Muiñeira de Cartelle,,Cartelle,Ourense,C major,6/8,4,0.32142857142857145,C2
264,Muiñeira de Monforte,,Monforte de Lemos,Lugo,C major,6/8,5,0.3584905660377358,C2
265,Maruxa,,Coruña,Coruña,C major,6/8,6,0.1958762886597938,C2
269,Muineira de Garceiras,Garceiras,Melide,A Coruña,C major,6/8,2,0.09411764705882353,C2
270,Muiñeira de Sexo,Sexo,,Pontevedra,d minor,6/8,0,0.3559322033898305,C2
271,Muiñeira de Santa Maria de Oleiros,Santa Maria de Oleiros,Oleiros,A Coruña ,C major,6/8,4,0.27956989247311825,C2
273,Muiñeira de Ourense,,Ourense,Ourense,C major,6/8,10,0.038461538461538464,C1
274,Muiñeira de Mourente,Mourente,Pontevedra,Pontevedra,C major,6/8,3,0.44776119402985076,C2
275,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,6,0.43333333333333335,C2
276,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,12,0.17647058823529413,C2
277,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,14,0.524390243902439,C1
278,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,10,0.09433962264150944,C1
280,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8,9,0.21818181818181817,C1
282,Muiñeira de Vilanova,,Vilanova,Pontevedra,C major,6/8,8,0.12121212121212122,C2
284,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,6,0.21212121212121213,C2
285,Muiñeira de Muradelle,Muradelle,Chantada,Lugo,C major,6/8,9,0.18072289156626506,C1
286,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8,1,0.1590909090909091,C1
287,Muiñeira de Negros,Negros,Redondela,Pontevedra,C major,6/8,5,0.34444444444444444,C1
288,Muiñeira de Visma,,Visma,A Coruña,C major,6/8,3,0.16363636363636364,C2
292,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8,11,0.0859375,C1
293,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8,12,0.0962962962962963,C1
294,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8,10,0.0859375,C1
295,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8,6,0.1111111111111111,C1
296,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8,5,0.125,C1
297,Muiñeira de Poio,Poio,Pontevedra,,d minor,6/8,11,0.4166666666666667,C1
298,Muiñeira de Poio,Poio,Pontevedra,,F major,6/8,19,0.125,C2
299,Muiñeira de Poio,Poio,Pontevedra,,F major,6/8,16,0.18421052631578946,C2
300,Muiñeira de Cesures,Cesures,Redondela,Pontevedra,C major,6/8,5,0.5087719298245614,C1
303,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8,2,0.2857142857142857,C2
304,Muiñeira de Forcarei,,Forcarei,Pontevedra,C major,6/8,4,0.2236842105263158,C1
305,Muiñeira do Morrazo,O Morrazo,,Pontevedra,F major,6/8,17,0.2345679012345679,C2
306,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8,2,0.2054794520547945,C2
307,Muiñeira de Piornedo,Piornedo,Cervantes,Lugo,C major,6/8,14,0.22093023255813954,C2
308,Muiñeira de Lougares,Lougares,Mondariz,Pontevedra,F major,6/8,20,0.14473684210526316,C2
310,Muiñeira de Ponteareas,,Ponteareas,Pontevedra,C major,6/8,3,0.21686746987951808,C2
312,Muiñeira do Chao,O Chao,O Barco de Valdeorras,Ourense,C major,6/8,0,0.14492753623188406,C1
316,Muiñeira de Lugo,,Lugo,Lugo,C major,6/8,8,0.22580645161290322,C1
317,Muiñeira do Molete,,,Pontevedra,C major,6/8,5,0.29850746268656714,C2
318,Muiñeira do Molete,,,Pontevedra,C major,6/8,10,0.10638297872340426,C1
320,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,3,0.2916666666666667,C1
321,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,5,0.23809523809523808,C2
322,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,2,0.3013698630136986,C2
323,Muiñeira de Oitavén,Oitavén,,Pontevedra,C major,6/8,5,0.6666666666666666,C2
324,Muiñeira de Neaño,Neaño,Bergantiños,A Coruña,C major,6/8,15,0.08,C1
325,Muiñeira de Laxe,Laxe,A Coruña,,C major,6/8,14,0.078125,C2
326,Muiñeira de Fonmaior,,A Fonsagrada,Lugo,C major,6/8,10,0.19101123595505617,C2
328,Muiñeira de Ibias,,Ibias,Asturies,F major,6/8,24,0.042682926829268296,C1
329,Muiñeira de Ibias,,Ibias,Asturies,F major,6/8,30,0.05434782608695652,C2
330,Muiñeira de Valdeferreiros,Valdeferreiros,Ibias,Asturies,C major,6/8,2,0.112,C1
332,Muiñeira de Liñeiro,Liñeiro,Muxía,A Coruña,G major,6/8,0,0.1,C2
335,Muiñeira,,Lugo,Lugo,C major,6/8,6,0.040983606557377046,C1
336,Muiñeira,,Portomarín,Lugo,C major,6/8,6,0.12790697674418605,C1
338,Muiñeira de Curuxeiras,Curuxeiras,Arzúa,A Coruña,C major,6/8,9,0.09322033898305085,C2
339,Muiñeira de Curuxeiras,Curuxeiras,Arzúa,A Coruña,C major,6/8,8,0.10204081632653061,C2
341,Muiñeira de Ramelle,Ramelle,Friol,Lugo,c minor,6/8,0,0.10869565217391304,C2
343,Muiñeira de Lobios,Lobios,Muiños,Ourense,C major,6/8,6,0.2125,C2
345,Mariñas de Betanzos,,Betanzos,A Coruña,C major,6/8,17,0.01639344262295082,C1
346,Mariñas de Betanzos,,Betanzos,A Coruña,C major,6/8,15,0.03571428571428571,C1
347,Muiñeira de Albarellos,Albarellos,Monterrei,Ourense,G major,6/8,0,0.15384615384615385,C1
348,Muiñeira de Carelle,Carelle,Sobrado,A Coruña,a minor,9/8,36,0.26244343891402716,C1
351,Muiñeira de Arantón,Arantón,Santa Comba,A Coruña,C major,6/8,8,0.025423728813559324,C1
352,Muiñeira de Pradela,Pradela,Os Ancares,Lugo,C major,6/8,5,0.12949640287769784,C2
354,Muiñeira,A Seara de Montes,Cartelle,Ourense,C major,6/8,6,0.2631578947368421,C2
356,Muiñeira de Vilouchada,Vilouchada,Trazo,A Coruña,e minor,6/8,2,0.32142857142857145,C2
357,Muiñeira de Señorans,Cereixo,A Estrada,Pontevedra,C major,6/8,18,0.13076923076923078,C2
359,Muiñeira do Carballal,Carballal,Folgoso do Courel,Lugo,C major,6/8,0,0.11363636363636363,C1
360,O Gaiteiro de Torbolosiño,Santa Eufemia,Folgoso do Courel,Lugo,C major,6/8,8,0.19402985074626866,C2
362,Muiñeira de Parada de Achas,Parada de Achas,A Cañiza,Pontevedra ,c minor,6/8,0,0.1506849315068493,
381,Muiñeira,,Ponte Caldelas,Pontevedra,F major,6/8,9,0.12345679012345678,C1
386,Muiñeira de Chancelas,Chancelas,Combarro,Pontevedra,c minor,4/4,0,0.1111111111111111,C2
387,Ruada de Allariz,,Allariz,Ourense,C major,6/8,5,0.22077922077922077,C1
391,Muiñeira de Redonda,Redonda,Corcubión,A Coruña,C major,6/8,4,0.2,C1
392,Muiñeira de Abellá,Abellá,Frades,A Coruña,C major,6/8,8,0.11235955056179775,C2
393,Muiñeira de Anceis,Anceis,Cambre,A Coruña,C major,6/8,11,0.2937062937062937,C2
397,As Festas de Marnela,Marnela,Valdoviño,A Coruña,C major,6/8,12,0.6521739130434783,C2
399,Muiñeira de Manuel Dopazo,,A Fonsagrada,Lugo,C major,6/8,16,0.08955223880597014,C2
400,Muiñeira,,A Fonsagrada,Lugo,C major,6/8,16,0.10084033613445378,C2
401,Muiñeira de Riomao,Riomao,A Veiga,Ourense,C major,6/8,18,0.20422535211267606,C2
402,Muiñeira de Riomao,Riomao,A Veiga,Ourense,C major,6/8,19,0.20833333333333334,C2
405,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,14,0.058823529411764705,C1
409,Muiñeira do Picato,O Picato,Outeiro de Rei,Lugo,C major,6/8,7,0.2222222222222222,C1
413,Muiñeira de Folgoso,,Folgoso do Courel,Lugo,a minor,6/8,8,0.5135135135135135,C1
414,Muiñeira de Ancadeira,,A Fonsagrada,Lugo,C major,6/8,7,0.2376237623762376,C2
416,Muiñeira do Hío,Hío,Cangas,Pontevedra,C major,6/8,12,0.17857142857142858,C1
418,Muiñeira de Tella,Os Teixois,Taramundi,Asturies,C major,6/8,10,0.08080808080808081,C1
422,Muiñeira de Pontesampaio,,Pontesampaio,Pontevedra,c minor,6/8,0,0.18064516129032257,C1
423,Muiñeira do Saviñao,Estromil,O Saviñao,Lugo,C major,6/8,0,0.10144927536231885,C1
424,Muiñeira das Nogais,,As Nogais,Lugo,C major,6/8,11,0.4117647058823529,C2
427,Carballesa de Melide,,Melide,A Coruña,C major,2/4,0,0.28205128205128205,C2
428,Redonda de Bande,,Bande,Ourense,C major,6/8,2,0.6086956521739131,C1
429,Redonda de Bande,,Bande,Ourense,C major,6/8,2,0.6222222222222222,C2
430,Ribeirana de Poio,,Poio,Pontevedra,C major,2/4,15,0.038461538461538464,C1
431,Ribeirana de Poio,,Poio,Pontevedra,C major,2/4,16,0.05063291139240506,C1
432,Muiñeira de Casamiro,Sambreixo,Parga,Lugo,C major,6/8,24,0.11188811188811189,C1
433,Muiñeira de Casamiro,Sambreixo,Parga,Lugo,C major,6/8,26,0.07142857142857142,C1
434,Carvalhesa,Moimenta de Vinhais,Bragança,Portugal,C major,2/4,4,0.5897435897435898,C2
435,Ribeirana de Ventosela,Ventosela do Gateiro,Ribadavia,Ourense,G major,6/8,0,0.19863013698630136,C1
438,Carballesa do Carballiño,,O Carballiño,Ourense,C major,2/4,0,0.3181818181818182,C2
441,Ribeirana de Villalba,,Villalba,Lugo,C major,6/8,7,0.4909090909090909,C2
442,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,7,0.06172839506172839,C2
443,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,8,0.08163265306122448,C1
444,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,2,0.0625,C2
445,Ribeirana de Redondela,,Redondela,Pontevedra,C major,6/8,2,0.24193548387096775,C1
446,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,3,0.3888888888888889,C2
449,Carballesa do Incio,,O Incio,Lugo,C major,2/4,7,0.12698412698412698,C1
450,Muiñeira de Vilarmide,Vilarmide,A Pontenova,Lugo,C major,6/8,10,0.09202453987730061,C2
452,Danza Anterga de Lugo,,Lugo,Lugo,C major,2/4,6,0.18181818181818182,C1
453,Carballesa do Incio,,O Incio,Lugo,C major,2/4,5,0.14285714285714285,C1
